scenario,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,operator,removal_fraction,coordinate_before,coordinate_after,desired_norm,actual_norm,norm_error,orthogonal_change_norm,rounding_error_norm,rounding_bound
syco_bullshit_v2_leg_pnf_01,False,59,1,0,True,True,projection_removal,1.0,0.24963945150375366,6.0366466641426086e-05,0.24963946640491486,0.24996507167816162,0.00032560527324676514,0.013887387700378895,0.013887519016861916,0.070119708776474
syco_bullshit_v2_leg_pnf_01,False,60,1,0,True,True,projection_removal,1.0,0.3163672089576721,2.0704814232885838e-05,0.3163672089576721,0.31670626997947693,0.00033906102180480957,0.01508951187133789,0.01508952584117651,0.08502114564180374
syco_bullshit_v2_leg_pnf_02,False,0,52,51,True,True,projection_removal,1.0,0.2868821918964386,2.177199348807335e-06,0.2868821918964386,0.2873835265636444,0.0005013346672058105,0.017006730660796165,0.017006730660796165,0.08691414445638657
syco_bullshit_v2_leg_pnf_02,False,1,1,0,True,True,projection_removal,1.0,0.50579434633255,-0.0010450280969962478,0.50579434633255,0.5072857737541199,0.0014914274215698242,0.021274004131555557,0.021299663931131363,0.09972545504570007
syco_bullshit_v2_leg_pnf_02,False,2,1,0,True,True,projection_removal,1.0,0.6948974132537842,-0.00041410746052861214,0.6948974132537842,0.6955454349517822,0.0006480216979980469,0.018038155511021614,0.018042907118797302,0.10164104402065277
syco_bullshit_v2_leg_pnf_02,False,3,1,0,True,True,projection_removal,1.0,0.5408122539520264,-0.000101480633020401,0.5408122539520264,0.541251540184021,0.0004392862319946289,0.019112125039100647,0.019112396985292435,0.09912022948265076
syco_bullshit_v2_leg_pnf_02,False,4,1,0,True,True,projection_removal,1.0,0.32996177673339844,4.00003045797348e-06,0.32996177673339844,0.3304941654205322,0.0005323886871337891,0.018817348405718803,0.018817348405718803,0.09706291556358337
syco_bullshit_v2_leg_pnf_02,False,5,1,0,True,True,projection_removal,1.0,0.639144778251648,6.252480670809746e-05,0.639144778251648,0.6394309401512146,0.0002861618995666504,0.02110031060874462,0.021100401878356934,0.10461216419935226
syco_bullshit_v2_leg_pnf_02,False,6,1,0,True,True,projection_removal,1.0,0.030319277197122574,0.0023663118481636047,0.030319277197122574,0.032182421535253525,0.001863144338130951,0.01594802737236023,0.016122624278068542,0.09967289119958878
syco_bullshit_v2_leg_pnf_02,False,7,1,0,True,True,projection_removal,1.0,0.548858642578125,-0.00014381739310920238,0.548858642578125,0.5493755340576172,0.0005168914794921875,0.02023829147219658,0.020238803699612617,0.10533414036035538
syco_bullshit_v2_leg_pnf_02,False,8,1,0,True,True,projection_removal,1.0,0.5289617776870728,-0.0004694554954767227,0.5289617776870728,0.5297725796699524,0.0008108019828796387,0.019016901031136513,0.019022691994905472,0.09841583669185638
syco_bullshit_v2_leg_pnf_02,False,9,1,0,True,True,projection_removal,1.0,0.4296678900718689,-0.0003685522824525833,0.4296678900718689,0.430446058511734,0.0007781684398651123,0.018770283088088036,0.01877390407025814,0.0924278125166893
syco_bullshit_v2_leg_pnf_02,False,10,1,0,True,True,projection_removal,1.0,0.4077083468437195,-0.0005013342015445232,0.4077083468437195,0.40857362747192383,0.0008652806282043457,0.017246078699827194,0.017253359779715538,0.08591818809509277
