scenario,condition,layer,changed_positions,positions,final_changed,final_patch_norm,patch_norm_mean,target_gap,final_coordinates_before,final_coordinates_after,final_gap_error,max_coordinate_sum_error
syco_bullshit_v2_sw_pnf_02,old_plus,17,27,72,True,0.06883089989423752,0.06248140335083008,8.476953744888306,"[-0.5851430892944336, -0.5296409130096436]","[-0.5324852466583252, -0.5859344005584717]",8.423503875732422,0.004886031150817871
syco_bullshit_v2_sw_pnf_02,old_plus,18,1,72,True,0.45471906661987305,0.006315542850643396,9.429186582565308,"[-1.2102363109588623, -0.85124272108078]","[-0.8514295220375061, -1.2092469930648804]",9.071369171142578,0.0008025169372558594
syco_bullshit_v2_sw_pnf_02,old_plus,19,71,72,True,3.511691093444824,1.6120785474777222,8.398379564285278,"[-2.88033390045166, -0.11639660596847534]","[-0.11269667744636536, -2.8810999393463135]",5.629976272583008,0.009618520736694336
syco_bullshit_v2_sw_pnf_02,old_plus,20,16,72,False,0.0,0.084342360496521,10.019581198692322,"[-0.5623617768287659, -2.2536725997924805]","[-0.5623617768287659, -2.2536725997924805]",8.328269958496094,0.0035234689712524414
syco_bullshit_v2_sw_pnf_02,old_plus,21,45,72,False,0.0,0.3764362335205078,11.533475756645203,"[-0.02440522238612175, -1.7030091285705566]","[-0.02440522238612175, -1.7030091285705566]",9.85487174987793,0.005372524261474609
syco_bullshit_v2_sw_pnf_02,old_minus,13,39,72,False,0.0,0.15718531608581543,-4.69693386554718,"[-0.6330046653747559, 1.043391466140747]","[-0.6330046653747559, 1.043391466140747]",3.0205376148223877,0.0009287595748901367
syco_bullshit_v2_sw_pnf_02,old_minus,14,62,72,False,0.0,0.8820810914039612,-3.869912028312683,"[-0.4634915292263031, 0.5460472702980042]","[-0.4634915292263031, 0.5460472702980042]",2.8603734970092773,0.0034035444259643555
syco_bullshit_v2_sw_pnf_02,old_minus,15,0,72,False,0.0,0.0,-6.436792850494385,"[-1.2481820583343506, 0.792880117893219]","[-1.2481820583343506, 0.792880117893219]",4.395730972290039,0.0
syco_bullshit_v2_sw_pnf_02,old_minus,16,0,72,False,0.0,0.0,-7.42580771446228,"[-1.3838833570480347, 0.8408607244491577]","[-1.3838833570480347, 0.8408607244491577]",5.201064109802246,0.0
syco_bullshit_v2_sw_pnf_02,old_minus,17,0,72,False,0.0,0.0,-7.5542134046554565,"[-1.6909312009811401, 0.8000054955482483]","[-1.6909312009811401, 0.8000054955482483]",5.063276767730713,0.0
syco_bullshit_v2_sw_pnf_02,old_minus,18,15,72,False,0.0,0.032171785831451416,-8.385780811309814,"[-2.4393911361694336, 0.8373691439628601]","[-2.4393911361694336, 0.8373691439628601]",5.109020233154297,0.0019034743309020996
syco_bullshit_v2_sw_pnf_02,old_minus,19,0,72,False,0.0,0.0,-12.443769216537476,"[-4.307479381561279, 1.9650245904922485]","[-4.307479381561279, 1.9650245904922485]",6.171265602111816,0.0
syco_bullshit_v2_sw_pnf_02,old_minus,20,0,72,False,0.0,0.0,-12.97796106338501,"[-4.480937957763672, 2.3604958057403564]","[-4.480937957763672, 2.3604958057403564]",6.136527061462402,0.0
syco_bullshit_v2_sw_pnf_02,old_minus,21,0,72,False,0.0,0.0,-14.799622058868408,"[-3.545850992202759, 2.904933214187622]","[-3.545850992202759, 2.904933214187622]",8.348836898803711,0.0
syco_bullshit_v2_sw_pnf_02,gap_plus,13,72,72,True,3.0885612964630127,2.308791399002075,4.556610018014908,"[-0.6330046653747559, 1.043391466140747]","[2.4839906692504883, -2.0729992389678955]",0.0003795623779296875,0.0032302141189575195
syco_bullshit_v2_sw_pnf_02,gap_plus,14,72,72,True,0.40337222814559937,0.2652440369129181,5.414298117160797,"[2.3707597255706787, -2.1837587356567383]","[2.8007946014404297, -2.6127758026123047]",0.0007276535034179688,0.0036600828170776367
syco_bullshit_v2_sw_pnf_02,gap_plus,15,72,72,True,1.4327417612075806,2.1828761100769043,6.172635734081268,"[1.7178481817245483, -1.838923454284668]","[3.0247833728790283, -3.1469037532806396]",0.0009484291076660156,0.006144046783447266
